month,year,revenue_m,profit_m
01月,2024,46.91359275,3.44708718
01月,2025,54.19091590,4.20763732
02月,2024,41.58029700,2.94123558
02月,2025,42.51951840,3.69375327
03月,2024,43.89811990,3.66510709
03月,2025,57.85718615,4.62522636
04月,2024,42.09254185,3.70770492
04月,2025,51.58805010,4.74342529
05月,2024,39.29431655,2.86650838
05月,2025,49.89891030,4.12554267
06月,2024,38.24645265,3.02063342
06月,2025,54.05726610,4.49102294
07月,2024,40.24203640,3.46611334
07月,2025,59.07383495,4.49670532
08月,2024,41.03552905,3.28101473
08月,2025,66.46686770,6.09636087
09月,2024,39.08804600,3.20662311
09月,2025,67.31195505,6.12254047
10月,2024,53.03780530,3.41415062
10月,2025,111.75980910,7.98349519
11月,2024,54.92000830,4.31451105
11月,2025,127.19656465,10.34620241
12月,2024,55.93717505,4.80429750
12月,2025,159.90501615,12.96445770
